t_s	x_mm	y_mm	z_mm	roll_rad	pitch_rad	yaw_rad	fx_N	fy_N	fz_N
0.010459	573.859047	69.436614	112.269935	0.000151	0.000075	1.570096	0.000000	0.110641	0.000000
0.030426	573.862317	69.074920	112.069739	0.000151	0.000075	1.570096	0.000000	0.000000	0.000000
0.050478	573.877328	68.900182	112.003212	0.000112	-0.000029	1.570096	0.000000	0.000000	0.000000
0.070421	573.892873	68.665207	111.881585	0.000112	-0.000029	1.570096	0.000000	0.136178	0.000000
0.090422	573.846631	68.402333	111.712644	0.000151	0.000075	1.570096	0.000000	-0.088929	0.000000
0.110423	573.821462	68.088620	111.500635	0.000190	0.000179	1.570096	0.000000	0.119868	0.000000
0.130424	573.823105	67.787120	111.355760	0.000151	0.000075	1.570096	0.000000	-0.054112	0.000000
0.150428	573.818195	67.482755	111.155844	0.000151	0.000075	1.570096	0.000000	-0.180423	0.000000
0.170447	573.873573	67.326430	111.124718	0.000112	-0.000029	1.570096	0.000000	0.209704	0.000000
0.190428	573.819753	67.120991	110.955985	0.000151	0.000074	1.570096	0.000000	0.296008	0.000000
0.210422	573.861742	66.837890	110.846510	0.000112	-0.000029	1.570096	0.000000	0.151691	0.000000
0.230464	573.800917	66.448354	110.599536	0.000151	0.000074	1.570096	0.000000	0.000000	0.000000
0.250454	573.808469	66.270674	110.478138	0.000151	0.000074	1.570096	0.000000	0.000000	0.000000
0.270443	573.822540	66.035600	110.356756	0.000152	0.000074	1.570096	0.000000	0.078860	0.000000
0.290446	573.829901	65.857895	110.235391	0.000152	0.000074	1.570096	0.000000	-0.054466	0.000000
0.310430	573.829934	65.556313	110.090863	0.000112	-0.000030	1.570096	0.000000	0.124836	0.000000
0.330435	573.788243	65.175925	109.867356	0.000191	0.000178	1.570096	0.000000	0.124465	0.000000
0.350423	573.760521	64.862201	109.655892	0.000231	0.000281	1.570096	0.000000	0.000000	0.000000
0.370421	573.753047	64.678099	109.577708	0.000231	0.000281	1.570096	0.000000	0.316693	0.000000
0.390463	573.759789	64.500353	109.456466	0.000231	0.000281	1.570096	0.000000	0.114364	0.000000
0.410430	573.800098	64.217075	109.347219	0.000192	0.000177	1.570096	0.000000	0.000000	0.000000
0.430492	573.792432	63.912565	109.147882	0.000192	0.000177	1.570096	0.000000	-0.079546	0.000000
