t_s	vx_mm_s	vy_mm_s	vz_mm_s
0.010459	0.163809	-18.114698	-10.026414
0.030426	0.163809	-18.114698	-10.026414
0.050478	0.748536	-8.713993	-3.317642
0.070421	0.779467	-11.782183	-6.098664
0.090422	-2.312062	-13.143564	-8.446947
0.110423	-1.258379	-15.684871	-10.599940
0.130424	0.082117	-15.073611	-7.243060
0.150428	-0.245428	-15.215734	-9.994156
0.170447	2.766257	-7.808813	-1.554801
0.190428	-2.693605	-10.281886	-8.444808
0.210422	2.100021	-14.158761	-5.475204
0.230464	-3.034916	-19.436054	-12.322840
0.250454	0.377779	-8.888316	-6.072880
0.270443	0.703972	-11.760299	-6.072503
0.290446	0.367976	-8.884014	-6.067421
0.310430	0.001659	-15.091503	-7.232333
0.330435	-2.083938	-19.014012	-11.172182
0.350423	-1.386991	-15.695936	-10.579741
0.370421	-0.373732	-9.206082	-3.909620
0.390463	0.336397	-8.868582	-6.049361
0.410430	2.018795	-14.187448	-5.471423
0.430492	-0.382089	-15.177914	-9.935708
0.450421	-2.475585	-13.180449	-8.439866
0.470422	0.313331	-8.889447	-6.057365
0.490422	1.666049	-11.298642	-5.457536
0.510448	-1.131548	-15.521328	-7.795412
0.530488	-0.120358	-18.059956	-9.935410
0.550435	-1.492975	-15.728208	-10.579460
0.570423	0.614055	-8.751741	-3.302265
0.590453	0.277177	-8.879568	-6.041343
0.610425	-1.517980	-15.709012	-10.560601
0.630452	-0.029751	-16.249246	-9.930070
0.650450	0.898857	-11.617751	-3.296516
0.670424	0.253832	-8.906695	-6.053564
0.690420	0.552533	-11.766950	-6.046172
0.710449	-1.564043	-15.663843	-10.519586
0.730435	-0.236326	-18.114166	-9.940722
0.750423	-0.550246	-15.241303	-9.936006
0.770424	0.560770	-8.749784	-3.289832
0.790422	0.513510	-11.768212	-6.039207
0.810448	0.211651	-8.887581	-6.030040
0.830428	-1.630585	-15.702432	-10.532102
0.850447	-0.305166	-18.086582	-9.910820
0.870423	0.084152	-7.716943	-3.289095
0.890423	0.478523	-11.768875	-6.032835
0.910439	-2.945929	-10.243460	-8.356973
0.930438	1.453185	-14.337399	-8.180491
0.950423	-0.360487	-18.118840	-9.917168
0.970436	-1.357154	-15.526733	-7.752844
0.990454	0.156158	-8.894386	-6.020952
1.010473	0.151819	-8.895008	-6.020191
1.030421	-1.736879	-15.726743	-10.526929
1.050423	-0.419691	-18.103772	-9.896592
1.070421	0.483081	-8.755506	-3.275277
1.090425	0.405159	-11.771233	-6.020071
1.110434	0.122880	-8.901361	-6.017370
1.130422	-0.461219	-18.118287	-9.896025
1.150435	-0.748732	-15.230377	-9.881032
1.170422	0.646443	-14.652361	-6.019934
1.190422	0.096903	-8.907581	-6.015290
1.210444	0.092454	-8.898200	-6.007790
1.230425	-1.836446	-15.700118	-10.488338
1.250418	-0.441486	-15.095470	-7.133484
1.270429	0.339152	-11.770935	-6.007399
1.290447	0.068705	-8.901635	-6.004267
1.310444	0.327708	-11.779221	-6.009437
1.330418	-0.893059	-6.340762	-3.866788
1.350447	1.211423	-5.438159	-2.143120
1.370420	-1.715804	-13.884250	-10.480482
1.390478	1.610452	-14.165542	-5.391038
1.410420	-0.907027	-6.350696	-3.870067
1.430445	-0.067347	-11.916786	-8.737292
1.450421	-0.911585	-6.339896	-3.862066
1.470457	-1.958799	-6.758966	-4.447379
1.490442	1.586956	-14.219259	-5.406693
1.510469	-0.091451	-11.917375	-8.732960
1.530419	-0.925126	-6.347211	-3.863945
1.550443	0.011279	-8.903190	-5.991808
1.570441	-0.927954	-6.331812	-3.853304
1.590420	0.254411	-11.794312	-6.003703
1.610443	0.366101	-8.751430	-3.249125
1.630448	1.180533	-5.450009	-2.144228
1.650419	-1.187587	-3.468550	-3.856486
1.670419	-0.813282	-12.219026	-6.593518
1.690429	-0.014743	-8.911061	-5.991013
1.710420	1.297899	-2.432859	0.598990
1.730419	-1.316472	-6.484286	-6.592051
1.750423	-0.704233	-9.196527	-3.847312
1.770445	0.924087	-2.582771	-2.141857
1.790447	-1.876528	-3.744397	-1.702935
1.810423	1.850136	-5.178060	-4.293344
1.830405	-0.956326	-6.336352	-3.849947
1.850420	1.293313	-2.431202	0.598291
1.870442	-0.956966	-6.323286	-3.841447
1.890427	0.921957	-2.588885	-2.145574
1.910423	-2.013521	-6.765809	-4.444706
1.930444	1.291333	-2.430946	0.598091
1.950444	0.919633	-2.587430	-2.143854
1.970421	-1.885550	-3.747001	-1.702500
1.990449	0.917432	-2.584042	-2.140738
2.010420	0.919631	-2.591688	-2.146945
2.030421	-2.937132	-4.175268	-2.298431
2.050422	0.917252	-2.587814	-2.143513
2.070421	0.000000	0.000000	0.000000
2.090446	0.238228	-2.863641	0.000000
2.110423	1.053655	0.433603	0.599441
2.130481	-0.135382	-3.012552	-2.734421
2.150421	1.055638	0.434296	0.600544
2.170423	0.000000	0.000000	0.000000
2.190420	-3.177763	-1.307350	-2.298153
2.210420	0.000000	0.000000	0.000000
2.230422	0.000000	0.000000	0.000000
2.250470	0.000000	0.000000	0.000000
2.270421	0.000000	0.000000	0.000000
2.290496	0.000000	0.000000	0.000000
2.310432	0.000000	0.000000	0.000000
2.330465	0.000000	0.000000	0.000000
2.350421	0.000000	0.000000	0.000000
2.370428	0.000000	0.000000	0.000000
2.390425	0.000000	0.000000	0.000000
2.410420	0.000000	0.000000	0.000000
2.430421	0.000000	0.000000	0.000000
2.450423	0.000000	0.000000	0.000000
2.470441	0.000000	0.000000	0.000000
2.490458	0.000000	0.000000	0.000000
2.510421	0.000000	0.000000	0.000000
2.530447	0.000000	0.000000	0.000000
2.550452	0.000000	0.000000	0.000000
2.570447	0.000000	0.000000	0.000000
2.590420	0.000000	0.000000	0.000000
2.610442	0.000000	0.000000	0.000000
2.630641	0.000000	0.000000	0.000000
2.650442	0.000000	0.000000	0.000000
2.670420	0.000000	0.000000	0.000000
2.690422	0.000000	0.000000	0.000000
2.710422	0.000000	0.000000	0.000000
2.730523	0.000000	0.000000	0.000000
2.750423	0.000000	0.000000	0.000000
2.770422	0.000000	0.000000	0.000000
2.790443	0.000000	0.000000	0.000000
2.810454	0.000000	0.000000	0.000000
2.830436	0.000000	0.000000	0.000000
2.850424	0.000000	0.000000	0.000000
2.870433	0.000000	0.000000	0.000000
2.890420	0.000000	0.000000	0.000000
2.910421	0.000000	0.000000	0.000000
2.930420	0.000000	0.000000	0.000000
2.950484	0.000000	0.000000	0.000000
2.970450	0.000000	0.000000	0.000000
2.990427	0.000000	0.000000	0.000000
3.010437	0.000000	0.000000	0.000000
3.030424	0.000000	0.000000	0.000000
3.050465	0.000000	0.000000	0.000000
3.070422	0.000000	0.000000	0.000000
3.090421	0.000000	0.000000	0.000000
3.110420	0.000000	0.000000	0.000000
3.130441	0.000000	0.000000	0.000000
3.150429	0.000000	0.000000	0.000000
3.170517	0.000000	0.000000	0.000000
3.190529	0.000000	0.000000	0.000000
3.210462	0.000000	0.000000	0.000000
3.230513	0.000000	0.000000	0.000000
3.250421	0.000000	0.000000	0.000000
3.270534	0.000000	0.000000	0.000000
3.290423	-12.155846	-5.000984	-18.556788
3.310428	-2.749916	7.030105	-29.542435
3.330422	39.738610	38.896293	-18.899394
3.350421	44.843300	22.717846	26.044051
3.370422	100.519828	48.712045	58.212823
3.390421	24.742708	16.203714	3.055232
3.410425	-20.033891	-1.075392	-21.499326
3.430513	-54.060614	-13.453364	-29.516314
3.450444	-16.621543	-2.654166	-11.517944
3.470425	8.147062	5.125692	-11.310435
3.490383	73.237806	39.327230	24.744220
3.510458	77.405689	45.273173	42.468419
3.530426	8.257456	9.440528	1.372571
3.550392	-23.489860	-3.745755	-21.702509
3.570423	-19.528129	-3.358744	-24.240158
3.590452	30.396759	21.628159	5.801216
3.610452	25.829803	16.756840	11.789805
3.630444	9.542211	11.220515	0.284482
3.650422	10.977200	10.594949	-6.351382
3.670465	23.052207	21.626338	2.845934
3.690444	10.238921	7.287970	0.271761
3.710445	20.182535	17.469396	0.535477
3.730422	6.793692	8.877563	-2.041189
3.750423	13.011617	8.456634	-0.220296
3.770397	23.085372	21.752557	2.820516
3.790450	6.655388	5.800146	-4.826004
3.810427	14.168622	11.987919	3.155409
3.830425	20.441789	17.645844	-4.494193
3.850438	18.301347	16.756289	-6.213778
3.870424	10.979312	10.674548	0.831471
3.890413	19.734077	17.393197	-2.850145
3.910446	6.644093	5.822161	-4.870853
3.930432	19.722546	17.409966	-2.873895
3.950444	7.693974	6.274098	-4.290822
3.970467	10.562786	10.519266	-1.992404
3.990421	21.851877	18.351988	-1.201510
4.010422	10.564100	10.541867	-2.007863
4.030400	20.381960	17.748004	-4.634229
4.050448	11.195429	7.766501	0.785429
4.070421	9.959774	9.077969	-2.628283
4.090423	10.925071	10.718835	0.781149
4.110444	9.779287	7.183234	-2.630370
4.130421	20.433769	20.878908	-1.868671
4.150477	6.981344	6.003693	-2.127888
4.170445	13.042717	11.650375	2.476186
4.190424	19.589141	18.730832	0.328612
4.210425	6.993792	6.028198	-2.144747
4.230426	19.996767	17.677143	0.312904
4.250423	9.620670	8.983396	2.379049
4.270423	6.684418	8.976483	-2.154674
4.290448	10.202816	10.467997	2.971162
4.310442	20.048124	20.819197	3.121552
4.330444	0.000000	0.000000	0.000000
4.350375	18.358365	23.247335	-0.315133
4.370489	9.763825	10.282262	0.137712
4.390422	12.321888	14.524565	-0.390388
4.410428	9.807905	10.346718	0.132576
4.430513	16.450972	22.378867	0.782216
4.450423	7.729475	9.504211	-1.591564
4.470424	12.945728	11.712300	2.432227
4.490429	16.426591	19.387909	-2.069405
4.510480	0.000000	0.000000	0.000000
4.530421	19.303030	23.781712	0.229946
4.550423	10.822006	10.832712	0.709339
4.570421	9.774927	10.390248	0.108437
4.590463	16.029942	22.347691	-2.096886
4.610422	9.782367	10.422006	0.100944
4.630424	10.802553	10.852989	0.696657
4.650445	18.112805	23.308878	-0.409026
4.670422	7.655369	9.521391	-1.624202
4.690423	9.743115	10.419501	0.088076
4.710423	10.116863	10.586759	2.940686
4.730421	9.737174	10.428475	0.084251
4.750511	19.040119	23.728491	0.160309
4.770421	9.768790	10.487376	0.077139
4.790445	9.709019	10.430821	0.074214
4.810445	19.090575	23.871296	0.141157
4.830430	9.716737	10.464105	0.066906
4.850484	16.598653	19.668876	0.676059
4.870445	6.571954	9.119399	-2.258664
4.890444	10.739935	10.924604	0.656140
4.910430	19.769160	21.129324	2.980119
4.930421	5.506041	8.663701	-2.864189
4.950445	10.711459	10.925612	0.646263
4.970444	19.353415	20.982062	0.089690
4.990421	6.541763	9.136718	-2.277669
5.010444	9.656224	10.486945	0.038363
5.030422	17.270041	23.269660	1.231062
5.050421	9.656451	10.511720	0.031866
5.070445	8.599116	10.045883	-0.568432
5.090440	6.892117	9.311681	0.591319
5.110420	9.654786	10.531764	0.025347
5.130482	19.220669	20.989564	0.043067
5.150439	16.086035	20.944630	0.603022
5.170455	0.000000	0.000000	0.000000
5.190421	19.283442	21.118259	0.025198
5.210420	8.365826	8.752246	1.178414
5.230491	19.161417	21.029252	0.012034
5.250463	9.163337	11.615085	0.002268
5.270431	9.621116	10.578448	-0.000163
5.290448	18.600866	16.452016	-3.499961
5.310418	10.653229	11.047850	0.590538
5.330420	12.717684	11.955759	2.309539
5.350483	19.488529	18.099710	-0.029316
5.370420	6.476797	9.232122	-2.347523
5.390423	9.577436	10.587791	-0.021128
5.410421	18.686913	22.231476	-0.049754
5.430420	10.411536	6.550009	-0.028516
5.450423	11.646149	11.525002	1.692977
5.470422	10.601969	11.069417	0.565236
5.490422	9.557158	10.610832	-0.035774
5.510474	21.143828	18.927543	-1.263500
5.530480	6.797973	9.396936	0.545873
5.550457	12.679585	12.027232	2.281424
5.570443	19.480095	18.253990	-0.098416
5.590490	9.510920	10.610292	-0.052767
5.610475	19.000236	19.312066	-0.113348
5.630421	10.013523	9.632102	-0.060432
5.650420	9.145732	10.482514	-2.986360
5.670440	9.506576	10.642171	-0.066339
5.690420	12.641807	12.060878	2.259796
5.710421	17.998845	17.663360	-3.671188
5.730418	22.118529	22.734572	2.170652
5.750434	6.776503	6.242734	-2.407474
5.770465	13.624294	12.518127	2.837183
5.790421	5.346088	8.838788	-3.019954
5.810421	13.004970	9.046173	2.238613
5.830448	18.468397	22.386469	-0.185952
5.850481	9.457798	10.676630	-0.096624
5.870442	12.445244	7.568583	1.634936
5.890478	18.895725	21.366931	-0.205111
5.910429	9.897277	7.685959	-0.106717
5.930430	9.456397	10.710625	-0.108923
5.950518	21.544794	22.567709	-0.837614
5.970444	9.480270	10.762323	-0.117684
5.990444	9.859911	7.679628	-0.119721
6.010443	9.439736	10.729920	-0.122207
6.030403	22.440147	19.861862	2.084439
6.050421	8.952178	11.766178	-0.129329
6.070546	9.365573	10.676028	-0.131038
6.090423	22.132303	19.801768	-0.901083
6.110470	9.391992	10.728591	-0.139853
6.130424	11.130087	11.550695	-1.370726
6.150426	9.874822	9.724011	-0.145958
6.170456	14.745579	14.424323	1.554709
6.190422	18.449637	21.409529	-3.276707
6.210425	10.292273	6.678446	-0.157631
6.230421	12.492764	12.190704	2.175342
6.250424	20.417333	20.307539	-1.560167
6.270444	9.367074	10.779111	-0.168093
6.290422	11.515295	8.505994	-1.407340
6.310423	12.941207	11.171693	2.162227
6.330422	11.870891	8.672114	1.562152
6.350420	21.892785	19.784808	-1.000349
6.370443	9.344582	10.797606	-0.184204
6.390500	18.502610	14.969088	-0.971894
6.410421	12.493659	12.281164	2.155039
6.430445	8.743421	7.265815	-0.791505
6.450422	22.247272	20.015232	1.946021
6.470489	9.749915	7.727476	-0.200580
6.490421	12.093878	12.121034	-0.855568
6.510463	9.757278	7.741753	-0.206655
6.530421	11.406908	11.809048	1.535679
6.550419	21.339890	20.894572	-1.079119
6.570447	12.015525	12.081706	-0.870423
6.590449	12.857079	9.186606	2.120534
6.610420	12.042048	12.124500	-0.880649
6.630422	11.443258	8.546339	-1.482262
6.650425	24.398212	24.401837	1.220838
6.670457	9.735367	7.769377	-0.235185
6.690446	10.976177	11.657954	-1.498918
6.710443	24.836405	21.344098	1.195248
6.730422	0.000000	0.000000	0.000000
6.750443	20.674526	19.437275	-1.758914
6.770483	12.805750	11.260677	2.087795
6.790448	20.711955	19.509725	-1.782942
6.810494	9.230511	8.815736	-0.260340
6.830445	12.844965	9.250677	2.087802
6.850463	21.005007	19.649647	1.213398
6.870421	9.740914	9.905869	-0.270809
6.890461	11.373193	8.571989	-1.542552
6.910421	8.698306	7.352859	-0.876277
6.930432	15.022460	13.598176	1.391818
6.950440	23.687924	20.948026	0.505301
6.970422	11.943778	12.203958	-0.967940
6.990422	8.667656	7.349340	-0.889074
7.010422	12.780902	9.255952	2.056124
7.030474	11.784676	13.373037	2.049026
7.050450	23.128963	19.506367	-0.128813
7.070440	9.320837	7.669617	-3.341296
7.090448	14.872443	14.845134	4.393239
7.110450	8.756621	6.158635	-3.946113
7.130450	14.869122	14.859538	4.390834
7.150424	21.594880	20.107271	-1.323787
7.170426	11.330641	10.724978	-1.610458
7.190451	10.027937	8.017065	2.718859
7.210457	10.857735	9.663504	-1.616778
7.230449	24.069209	20.036971	0.400758
7.250422	11.400346	13.305141	-1.032383
7.270421	11.309131	10.747921	-1.633814
7.290472	21.320817	23.385520	1.667093
7.310427	9.164717	11.036038	-0.346013
7.330517	11.132379	11.915018	1.403201
7.350391	9.857888	11.398693	-2.828185
7.370461	11.134608	11.935028	1.399260
7.390525	21.254924	23.417986	1.637623
7.410422	9.166831	11.090822	-0.362296
7.430446	11.688890	13.489207	1.992215
7.450443	8.564968	9.529542	-0.963840
7.470464	11.277275	8.670173	-1.673900
7.490424	20.427093	26.566789	-1.458921
7.510439	9.088274	11.047451	-0.376452
7.530446	12.672920	9.346069	1.979212
7.550515	20.646101	26.631894	1.589058
7.570425	8.609737	7.465453	-0.989191
7.590439	9.069497	11.065395	-0.388292
7.610445	10.733070	11.856899	-1.707210
7.630451	19.789088	22.941639	-2.109250
7.650574	13.072442	12.939240	2.543938
7.670424	11.172718	12.142964	1.371161
7.690423	9.050996	11.095906	-0.404642
7.710430	11.733895	12.366202	-1.130864
7.730391	19.618068	26.387548	0.942923
